mois,jour,heure,consommation,prevision_1,prevision_0,fioul,charbon,gaz,nucleaire,eolien,solaire,hydraulique,pompage,bioenergies,echanges_physiques,taux_co2,echanges_angleterre,echanges_espagne,echanges_italie,echanges_suisse,echanges_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydro_ecluses,hydro_lacs,hydro_turbines,bio_dechets,bio_biomasse,bio_biogaz
1,1,0,63738,62987.5,62550,174,29.5,3248.5,55891,1555.5,-2,4789,-1599,1210,-3120.0,63.0,-3110.0,-4800.0,912.0,-4576.0,7530.0,44.0,165.0,105.0,9.0,5058.0,1200.0,230.0,6993.0,2419.0,168.0,1165.0,664.0,592.0
1,1,1,60870,60837.5,60575,175,30,2888,55151.5,1596.5,-2,4197.5,-1583.5,1214.5,-5595.0,46.0,-3110.0,-4800.0,1418.0,-4706.0,6260.0,40.0,168.0,108.0,10.0,5149.0,379.0,238.0,6672.0,1449.0,274.0,1175.0,654.0,600.0
1,1,2,59822,59500,58975,174,31.5,2853,54995.5,1542,-2,3849.5,-2068.5,1219,-5544.0,47.0,-3012.0,-4800.0,104.0,-4672.0,7174.0,41.0,167.0,108.0,10.0,5111.0,348.0,237.0,6264.0,1435.0,0.0,1177.0,664.0,597.0
1,1,3,56667.5,56012.5,55450,174,31,2866.5,53847,1505,-2,3253,-2749.5,1216,-6948.0,49.0,-3012.0,-4800.0,18.0,-5168.0,5598.0,41.0,168.0,108.0,10.0,5087.0,396.0,241.0,6048.0,458.0,0.0,1184.0,654.0,595.0
1,1,4,53961,53300,53187.5,174,31,2871,51113,1549.5,-2,3113,-2911.5,1215.5,-6383.0,51.0,-2810.0,-4800.0,2320.0,-5508.0,5606.0,40.0,168.0,108.0,9.0,5094.0,407.0,232.0,5865.0,361.0,0.0,1185.0,654.0,592.0
1,1,5,53011,52187.5,52475,174,31,2870.5,49090,1632.5,-2,2969.5,-3091,1203.5,-3736.0,54.0,-1920.0,-4800.0,2320.0,-5820.0,8120.0,41.0,168.0,109.0,8.0,5094.0,396.0,244.0,5648.0,292.0,0.0,1169.0,653.0,585.0
1,1,6,53173,52162.5,52687.5,174,29.5,2870.5,48355,1830.5,-1.5,2933,-3113,1199,-2207.0,54.0,-1128.0,-4800.0,780.0,-5934.0,9282.0,40.0,168.0,108.0,9.0,5102.0,393.0,237.0,5422.0,444.0,0.0,1159.0,658.0,581.0
1,1,7,53528,52212.5,53125,174,29.5,3003,48153,1824,-1.5,3034,-3069.5,1202,-1642.0,56.0,-1034.0,-4800.0,-2008.0,-5894.0,12062.0,41.0,168.0,108.0,9.0,5096.0,663.0,239.0,5670.0,398.0,0.0,1159.0,660.0,583.0
1,1,8,53570.5,51975,53075,174.5,30,3118,48145,1821.5,2,3301.5,-2800,1202,-2848.0,57.0,-3308.0,-4800.0,-2496.0,-6002.0,12228.0,40.0,168.0,108.0,8.0,5104.0,881.0,242.0,6139.0,464.0,0.0,1160.0,658.0,586.0
1,1,9,53757.5,52462.5,53662.5,175,26.5,3114,49501,1792.5,201.5,3628.5,-2892.5,1199,-5977.0,55.0,-3308.0,-4800.0,-3160.0,-6002.0,10288.0,40.0,168.0,108.0,10.0,5098.0,877.0,245.0,6221.0,1037.0,0.0,1149.0,660.0,590.0
