mois,jour,heure,consommation,prevision_1,prevision_0,fioul,charbon,gaz,nucleaire,eolien,solaire,hydraulique,pompage,bioenergies,echanges_physiques,taux_co2,echanges_angleterre,echanges_espagne,echanges_italie,echanges_suisse,echanges_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydro_ecluses,hydro_lacs,hydro_turbines,bio_dechets,bio_biomasse,bio_biogaz
1,1,0,60544.5,55887.5,57912.5,136,27,2466.5,39809,10741.5,-1,8441,-1238.5,1144.5,-1960.0,42.0,-3408.0,-550.0,-2570.0,-5342.0,12792.0,20.0,174.0,56.0,7.0,4317.0,450.0,159.0,12097.0,4182.0,603.0,1180.0,572.0,535.0
1,1,1,57890,54337.5,56250,105.5,17,2475,35453.5,10641,-1,8503,-1482.5,1114,2128.0,44.0,-2814.0,-1356.0,-2570.0,-5204.0,15104.0,18.0,168.0,6.0,16.0,4327.0,449.0,156.0,12032.0,4574.0,401.0,1156.0,557.0,515.0
1,1,2,57020.5,53175,54912.5,104.5,17,2499,34918.5,10492.5,-1,7875,-1634.5,1107.5,3285.0,46.0,-2814.0,-736.0,-2570.0,-5090.0,15448.0,19.0,168.0,6.0,16.0,4379.0,444.0,158.0,11773.0,3790.0,187.0,1150.0,553.0,511.0
1,1,3,54161.5,49612.5,51787.5,104.5,17.5,2506.5,34274,10254,-1,7484,-1673.5,1102,187.0,47.0,-2614.0,-5574.0,-2570.0,-4986.0,14318.0,19.0,168.0,6.0,16.0,4388.0,447.0,161.0,11358.0,3090.0,520.0,1140.0,558.0,507.0
1,1,4,51771.5,46862.5,49637.5,105,17,2499.5,34514,9918.5,-1,6445.5,-1739,1101.5,-2181.0,48.0,-2614.0,-5600.0,-2152.0,-4832.0,12338.0,20.0,169.0,6.0,16.0,4370.0,450.0,162.0,11099.0,1793.0,-1.0,1138.0,565.0,500.0
1,1,5,50736.5,45850,48887.5,105,17.5,2496.5,34334.5,9893,-1,5991,-2344.5,1092.5,-1696.0,50.0,-2614.0,-5600.0,-1018.0,-4090.0,11988.0,20.0,168.0,6.0,16.0,4365.0,446.0,165.0,10827.0,1156.0,-1.0,1122.0,563.0,499.0
1,1,6,51018.5,45875,49125,104.5,17,2483,34824,9834,-1,6172,-2913.5,1089.5,-1181.0,49.0,-2614.0,-5600.0,-1018.0,-3812.0,11822.0,20.0,167.0,6.0,16.0,4339.0,445.0,166.0,10834.0,1511.0,0.0,1108.0,570.0,502.0
1,1,7,51249,46062.5,49512.5,105,17,2485,34801,9925.5,-1,6504,-2862,1091.5,-1631.0,48.0,-2614.0,-5000.0,-1016.0,-3536.0,10706.0,20.0,167.0,7.0,16.0,4342.0,446.0,165.0,11086.0,1922.0,0.0,1114.0,567.0,501.0
1,1,8,51280.5,46387.5,49425,105,17.5,2517,35293,9815,2,6867.5,-2958.5,1087,-2930.0,48.0,-1630.0,-5600.0,-1016.0,-3858.0,7864.0,20.0,168.0,6.0,16.0,4405.0,446.0,166.0,11194.0,2542.0,0.0,1112.0,564.0,499.0
1,1,9,51351.5,47212.5,49887.5,106.5,17,2514.5,35761,9553,263,7364,-2903,1086,-4821.0,47.0,-1432.0,-4896.0,-1016.0,-3998.0,6668.0,20.0,170.0,7.0,16.0,4400.0,448.0,166.0,11489.0,2923.0,316.0,1102.0,570.0,499.0
1,1,10,53046,49400,51737.5,105.5,17.5,2517.5,36375.5,9288,936,7079.5,-2985.5,1077,-2730.0,46.0,-2620.0,-5600.0,-86.0,-3392.0,10620.0,20.0,170.0,7.0,17.0,4400.0,453.0,166.0,12036.0,2123.0,0.0,1094.0,559.0,501.0
