mois,jour,heure,consommation,prevision_1,prevision_0,fioul,charbon,gaz,nucleaire,eolien,solaire,hydraulique,pompage,bioenergies,echanges_physiques,taux_co2,echanges_angleterre,echanges_espagne,echanges_italie,echanges_suisse,echanges_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydro_ecluses,hydro_lacs,hydro_turbines,bio_dechets,bio_biomasse,bio_biogaz
1,1,0,59526,58200,58787.5,228.5,21.5,2226.5,54373,2548,-1,3532,-177,1069,-8590.0,62.0,-3520.0,-5000.0,-2988.0,-6372.0,8818.0,40.0,311.0,105.0,7.0,3706.0,568.0,174.0,3700.0,1171.0,2194.0,1144.0,523.0,471.0
1,1,1,56569,56650,57125,160,22.5,2208.5,53903.5,2082.5,-1,2682.5,-77,1086.5,-10996.0,64.0,-3520.0,-5200.0,-2988.0,-6092.0,6366.0,40.0,174.0,106.0,6.0,3756.0,459.0,194.0,3487.0,1109.0,769.0,1166.0,550.0,457.0
1,1,2,55506.5,55712.5,55562.5,159.5,22,2220,54036,1690.5,-1,2315,-334.5,1092,-11386.0,65.0,-3520.0,-5200.0,-2988.0,-6064.0,6824.0,40.0,173.0,106.0,7.0,3766.0,473.0,194.0,3205.0,1112.0,314.0,1178.0,552.0,455.0
1,1,3,52404,52200,52012.5,159,22,2217.5,53176.5,1414.5,-1,1960.5,-2436,1088.5,-10394.0,69.0,-3520.0,-5200.0,-2988.0,-6092.0,8288.0,40.0,172.0,106.0,7.0,3770.0,463.0,194.0,3303.0,618.0,0.0,1174.0,550.0,453.0
1,1,4,49776,49562.5,49725,158.5,22,2220,51957,1200,-1,2160,-3109,1089.5,-11842.0,71.0,-3520.0,-5200.0,-2988.0,-5994.0,4726.0,38.0,172.0,106.0,6.0,3763.0,477.0,194.0,3517.0,803.0,0.0,1177.0,551.0,452.0
1,1,5,48761,48862.5,49125,158.5,22.5,2217,51599,1000.5,-1,2252,-2433,1088,-14283.0,71.0,-3520.0,-5200.0,-2988.0,-5954.0,3080.0,40.0,172.0,106.0,6.0,3768.0,468.0,192.0,3527.0,979.0,-1.0,1171.0,553.0,452.0
1,1,6,48979.5,48850,49400,160,22.5,2199,52251.5,871,-1,1951,-1734.5,1082.5,-15643.0,70.0,-3520.0,-5200.0,-2988.0,-6032.0,2166.0,38.0,174.0,107.0,6.0,3749.0,450.0,192.0,3456.0,447.0,0.0,1161.0,550.0,453.0
1,1,7,49223.5,48925,49762.5,159.5,22.5,2220.5,51987.5,954,-1,1963,-1704.5,1093,-14941.0,70.0,-3520.0,-4842.0,-2988.0,-5844.0,3590.0,38.0,174.0,107.0,6.0,3748.0,496.0,191.0,3368.0,558.0,0.0,1180.0,552.0,453.0
1,1,8,49304.5,48662.5,49687.5,159.5,22,2214,51271.5,1189.5,0.5,2120.5,-2885,1090.5,-11757.0,72.0,-454.0,-3488.0,-2988.0,-5938.0,2494.0,38.0,173.0,107.0,6.0,3736.0,494.0,191.0,3510.0,732.0,-1.0,1178.0,553.0,451.0
1,1,9,49295,49375,49825,159,22.5,2208.5,51366,1545.5,164,2502,-2766.5,1086.5,-13986.0,70.0,-1954.0,-1878.0,-2988.0,-6088.0,-3012.0,39.0,172.0,107.0,7.0,3747.0,472.0,192.0,3841.0,1164.0,0.0,1170.0,554.0,448.0
