mois,jour,heure,consommation,prevision_1,prevision_0,fioul,charbon,gaz,nucleaire,eolien,solaire,hydraulique,pompage,bioenergies,echanges_physiques,taux_co2,echanges_angleterre,echanges_espagne,echanges_italie,echanges_suisse,echanges_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydro_ecluses,hydro_lacs,hydro_turbines,bio_dechets,bio_biomasse,bio_biogaz
5,23,20,95894.0,189300.0,189300.0,308.0,1033.0,4295.0,79811.0,3541.0,855.0,21362.0,-187.0,1996.0,-17120.0,58.0,-3000.0,-6300.0,-4924.0,282.0,-3403.0,38.0,172.0,90.0,9.0,1049.0,3143.0,94.0,11946.0,5697.0,3720.0,986.0,540.0,470.0
5,23,21,91775.0,183200.0,183200.0,302.0,886.0,3807.0,80990.0,3580.0,88.0,18314.0,-232.0,2013.0,-17974.0,54.0,-3000.0,-6300.0,-4924.0,48.0,-3088.0,38.0,172.0,86.0,8.0,1051.0,2653.0,94.0,11487.0,4590.0,2238.0,1001.0,544.0,469.0
5,23,22,93493.0,189200.0,189200.0,301.0,777.0,3744.0,80872.0,4007.0,-2.0,17535.0,-308.0,2019.0,-15454.0,52.0,-3000.0,-6300.0,-4924.0,1666.0,1216.0,38.0,171.0,84.0,8.0,1054.0,2590.0,92.0,11474.0,4440.0,1622.0,1006.0,545.0,468.0
5,23,23,98709.0,198900.0,198850.0,302.0,893.0,3888.0,79999.0,4340.0,-2.0,17428.0,-351.0,2025.0,-9814.0,55.0,-3000.0,-3800.0,-4446.0,1190.0,2754.0,38.0,172.0,84.0,8.0,1006.0,2784.0,90.0,11360.0,4545.0,1523.0,1010.0,547.0,467.0
5,24,0,94174.0,182750.0,182300.0,304.0,697.0,3222.0,79250.0,4197.0,-2.0,14379.0,-1394.0,2044.0,-8522.0,50.0,-2704.0,-3800.0,-4446.0,-110.0,2484.0,38.0,172.0,85.0,8.0,966.0,2152.0,94.0,10573.0,3433.0,372.0,1018.0,559.0,467.0
5,24,1,84615.0,168500.0,170050.0,304.0,665.0,2449.0,77599.0,3900.0,-2.0,12790.0,-4248.0,2049.0,-10892.0,48.0,-2704.0,-3800.0,-4446.0,-74.0,416.0,39.0,171.0,85.0,8.0,943.0,1402.0,94.0,9672.0,2678.0,440.0,1022.0,569.0,459.0
5,24,2,81962.0,162000.0,162700.0,305.0,702.0,2328.0,77601.0,3472.0,-2.0,12172.0,-4503.0,2033.0,-12149.0,48.0,-2704.0,-3800.0,-4446.0,-528.0,-1220.0,39.0,174.0,86.0,8.0,939.0,1286.0,94.0,9365.0,2368.0,440.0,1017.0,558.0,459.0
5,24,3,77150.0,151300.0,151700.0,305.0,733.0,2385.0,77297.0,2840.0,-2.0,11362.0,-4774.0,2035.0,-15032.0,51.0,-2704.0,-3800.0,-4734.0,-948.0,-4024.0,39.0,174.0,84.0,8.0,928.0,1354.0,94.0,8917.0,2147.0,300.0,1003.0,571.0,461.0
5,24,4,74693.0,146750.0,148300.0,302.0,719.0,2549.0,77174.0,2342.0,-2.0,11376.0,-5140.0,2032.0,-16658.0,52.0,-2704.0,-3800.0,-4734.0,-588.0,-5456.0,36.0,174.0,84.0,8.0,915.0,1528.0,97.0,8919.0,2158.0,298.0,998.0,574.0,459.0
5,24,5,75923.0,152700.0,153200.0,302.0,701.0,2708.0,77185.0,1975.0,-2.0,11979.0,-4479.0,2018.0,-16463.0,52.0,-2704.0,-3800.0,-4734.0,-504.0,-4480.0,36.0,174.0,85.0,9.0,962.0,1639.0,98.0,9229.0,2452.0,298.0,996.0,565.0,456.0
