mois,jour,heure,perte
1,1,0,2383
1,1,1,2243
1,1,2,2371
1,1,3,2216
1,1,4,2117
1,1,5,2119
1,1,6,2143
1,1,7,2114
1,1,8,2187
1,1,9,2249
1,1,10,2226
1,1,11,2060
1,1,12,2027
1,1,13,2041
1,1,14,1809
1,1,15,1671
1,1,16,1417
1,1,17,1455
1,1,18,1870
1,1,19,2061
1,1,20,2233
1,1,21,1883
1,1,22,2076
1,1,23,2068
1,2,0,1785
1,2,1,1611
1,2,2,1557
1,2,3,1531
1,2,4,1671
1,2,5,1479
1,2,6,1610
1,2,7,1732
1,2,8,1815
1,2,9,1887
1,2,10,1889
1,2,11,1921
1,2,12,1961
1,2,13,1858
1,2,14,1790
1,2,15,1680
1,2,16,1638
1,2,17,1707
1,2,18,1912
1,2,19,1904
1,2,20,1840
1,2,21,1926
1,2,22,2054
1,2,23,2058
1,3,0,1830
1,3,1,1725
1,3,2,1698
1,3,3,1834
1,3,4,1731
1,3,5,1666
1,3,6,1782
1,3,7,2054
1,3,8,2122
1,3,9,2087
1,3,10,2022
1,3,11,1962
1,3,12,1939
1,3,13,1860
1,3,14,1742
1,3,15,1700
1,3,16,1637
1,3,17,1750
1,3,18,2005
1,3,19,2069
1,3,20,1890
1,3,21,1900
1,3,22,1991
1,3,23,2074
1,4,0,2022
1,4,1,1971
1,4,2,1949
1,4,3,1897
1,4,4,1869
1,4,5,1876
1,4,6,1973
1,4,7,2163
1,4,8,2273
1,4,9,2264
1,4,10,2270
1,4,11,2196
1,4,12,2170
1,4,13,2091
1,4,14,1968
1,4,15,1865
1,4,16,1788
1,4,17,1802
1,4,18,2085
1,4,19,2094
1,4,20,1964
1,4,21,2146
1,4,22,2183
1,4,23,2365
1,5,0,2307
1,5,1,1943
1,5,2,1669
1,5,3,1638
1,5,4,1949
1,5,5,1869
1,5,6,1916
1,5,7,2032
1,5,8,2021
1,5,9,1941
1,5,10,1873
1,5,11,1825
1,5,12,1795
1,5,13,1708
1,5,14,1634
1,5,15,1534
1,5,16,1518
1,5,17,1640
1,5,18,2005
1,5,19,2013
1,5,20,1940
1,5,21,1908
1,5,22,2104
1,5,23,1875
1,6,0,2044
1,6,1,2016
1,6,2,2090
1,6,3,2034
1,6,4,2009
1,6,5,2061
1,6,6,1948
1,6,7,2193
1,6,8,2344
1,6,9,2288
1,6,10,2108
1,6,11,2012
1,6,12,1962
1,6,13,1890
1,6,14,1755
1,6,15,1659
1,6,16,1632
1,6,17,1809
1,6,18,2058
1,6,19,2046
1,6,20,1861
1,6,21,1775
1,6,22,1851
1,6,23,1926
1,7,0,2101
1,7,1,2183
1,7,2,2112
1,7,3,2112
1,7,4,2040
1,7,5,2077
1,7,6,1959
1,7,7,2344
1,7,8,2373
1,7,9,2334
1,7,10,2102
1,7,11,2123
1,7,12,2070
1,7,13,2107
1,7,14,2124
1,7,15,2020
1,7,16,1837
1,7,17,1865
1,7,18,1970
1,7,19,2027
1,7,20,2363
1,7,21,2148
1,7,22,2351
1,7,23,2394
1,8,0,2276
1,8,1,2504
1,8,2,2424
1,8,3,2309
1,8,4,2258
1,8,5,2257
1,8,6,2276
1,8,7,2219
1,8,8,2164
1,8,9,2206
1,8,10,2238
1,8,11,2128
1,8,12,1959
1,8,13,2040
1,8,14,2014
1,8,15,1933
1,8,16,1606
1,8,17,1436
1,8,18,1687
1,8,19,1680
1,8,20,1956
1,8,21,2077
1,8,22,2080
1,8,23,2177
1,9,0,2032
1,9,1,2092
1,9,2,2163
1,9,3,2218
1,9,4,2174
1,9,5,1990
1,9,6,1593
1,9,7,1500
1,9,8,1816
1,9,9,1801
1,9,10,1753
1,9,11,1692
1,9,12,1712
1,9,13,1674
1,9,14,1625
1,9,15,1564
1,9,16,1551
1,9,17,1604
1,9,18,1774
1,9,19,1831
1,9,20,1941
1,9,21,2247
1,9,22,2406
1,9,23,2323
1,10,0,2153
1,10,1,2010
1,10,2,2024
1,10,3,2036
1,10,4,1945
1,10,5,1848
1,10,6,1843
1,10,7,1602
1,10,8,1670
1,10,9,1866
1,10,10,1841
1,10,11,1797
1,10,12,1801
1,10,13,1763
1,10,14,1776
1,10,15,1704
1,10,16,1659
1,10,17,1697
1,10,18,1793
1,10,19,1781
1,10,20,1691
1,10,21,1588
1,10,22,1659
1,10,23,1677
1,11,0,1653
1,11,1,1663
1,11,2,1932
1,11,3,1886
1,11,4,1877
1,11,5,1883
1,11,6,1729
1,11,7,1631
1,11,8,1669
1,11,9,1790
1,11,10,1756
1,11,11,1712
1,11,12,1730
1,11,13,1748
1,11,14,1690
1,11,15,1695
1,11,16,1678
1,11,17,1592
1,11,18,1672
1,11,19,1679
1,11,20,1727
1,11,21,1806
1,11,22,1709
1,11,23,1810
1,12,0,1869
1,12,1,1810
1,12,2,2003
