mois,jour,heure,perte
1,13,21,1726
1,13,22,1712
1,13,23,1720
1,14,0,1731
1,14,1,1722
1,14,2,1730
1,14,3,1721
1,14,4,1686
1,14,5,1704
1,14,6,1809
1,14,7,1961
1,14,8,2067
1,14,9,1999
1,14,10,1951
1,14,11,1925
1,14,12,1914
1,14,13,1871
1,14,14,1832
1,14,15,1825
1,14,16,1812
1,14,17,1802
1,14,18,1951
1,14,19,1956
1,14,20,1936
1,14,21,1845
1,14,22,1790
1,14,23,1884
1,15,0,1737
1,15,1,1796
1,15,2,1753
1,15,3,1648
1,15,4,1613
1,15,5,1660
1,15,6,1759
1,15,7,1911
1,15,8,1946
1,15,9,1885
1,15,10,1841
1,15,11,1845
1,15,12,1766
1,15,13,1704
1,15,14,1657
1,15,15,1664
1,15,16,1633
1,15,17,1753
1,15,18,1931
1,15,19,1920
1,15,20,1853
1,15,21,1827
1,15,22,1775
1,15,23,1784
1,16,0,1680
1,16,1,1681
1,16,2,1728
1,16,3,1682
1,16,4,1696
1,16,5,1699
1,16,6,1684
1,16,7,1693
1,16,8,1720
1,16,9,1749
1,16,10,1719
1,16,11,1669
1,16,12,1651
1,16,13,1613
1,16,14,1617
1,16,15,1576
1,16,16,1579
1,16,17,1609
1,16,18,1735
1,16,19,1796
1,16,20,1834
1,16,21,1784
1,16,22,1868
1,16,23,1963
1,17,0,1757
1,17,1,1630
1,17,2,1608
1,17,3,1581
1,17,4,1563
1,17,5,1565
1,17,6,1556
1,17,7,1582
1,17,8,1602
1,17,9,1625
1,17,10,1643
1,17,11,1679
1,17,12,1719
1,17,13,1708
1,17,14,1622
1,17,15,1599
1,17,16,1608
1,17,17,1527
1,17,18,1718
1,17,19,1793
1,17,20,1855
1,17,21,1776
1,17,22,1844
1,17,23,1895
1,18,0,1625
1,18,1,1577
1,18,2,1645
1,18,3,1610
1,18,4,1641
1,18,5,1655
1,18,6,1685
1,18,7,1810
1,18,8,1935
1,18,9,1971
1,18,10,2042
1,18,11,2168
1,18,12,2172
1,18,13,2142
1,18,14,2126
1,18,15,2071
1,18,16,2031
1,18,17,2063
1,18,18,2249
1,18,19,2238
1,18,20,2098
1,18,21,1926
1,18,22,1961
1,18,23,2027
1,19,0,1918
1,19,1,1896
1,19,2,1853
1,19,3,1803
1,19,4,1770
1,19,5,1742
1,19,6,1868
1,19,7,2108
1,19,8,2228
1,19,9,2241
1,19,10,2185
1,19,11,2151
1,19,12,2109
1,19,13,1983
1,19,14,1948
1,19,15,1880
1,19,16,1884
1,19,17,2081
1,19,18,2271
1,19,19,2239
1,19,20,1969
1,19,21,1852
1,19,22,1869
1,19,23,1950
1,20,0,1884
1,20,1,1821
1,20,2,1820
1,20,3,1799
1,20,4,1785
1,20,5,1787
1,20,6,1921
1,20,7,2169
1,20,8,2291
1,20,9,2289
1,20,10,2290
1,20,11,2240
1,20,12,2122
1,20,13,2013
1,20,14,1946
1,20,15,1827
1,20,16,1914
1,20,17,1885
1,20,18,2156
1,20,19,2146
1,20,20,1907
1,20,21,1804
1,20,22,1942
1,20,23,2017
1,21,0,1871
1,21,1,1813
1,21,2,1796
1,21,3,1727
1,21,4,1699
1,21,5,1802
1,21,6,2035
1,21,7,2246
1,21,8,2322
1,21,9,2260
1,21,10,2250
1,21,11,2170
1,21,12,2098
1,21,13,1980
1,21,14,1874
1,21,15,1812
1,21,16,1834
1,21,17,1858
1,21,18,2075
1,21,19,2099
1,21,20,1936
1,21,21,1835
1,21,22,1854
1,21,23,1934
1,22,0,1809
1,22,1,1754
1,22,2,1804
1,22,3,1782
1,22,4,1817
1,22,5,1859
1,22,6,1828
1,22,7,1987
1,22,8,2104
1,22,9,2064
1,22,10,2107
1,22,11,2101
1,22,12,2087
1,22,13,2072
1,22,14,2013
1,22,15,1968
1,22,16,1910
1,22,17,1872
1,22,18,1991
1,22,19,2025
1,22,20,1913
1,22,21,1877
1,22,22,1882
1,22,23,1894
1,23,0,1783
1,23,1,1711
1,23,2,1710
1,23,3,1651
1,23,4,1604
1,23,5,1579
1,23,6,1540
1,23,7,1554
1,23,8,1620
1,23,9,1633
1,23,10,1600
1,23,11,1572
1,23,12,1604
1,23,13,1562
1,23,14,1530
1,23,15,1492
1,23,16,1471
1,23,17,1490
1,23,18,1598
1,23,19,1650
1,23,20,1642
1,23,21,1648
1,23,22,1644
1,23,23,1791
1,24,0,1720
1,24,1,1753
1,24,2,1755
1,24,3,1683
1,24,4,1630
1,24,5,1622
1,24,6,1563
1,24,7,1622
1,24,8,1628
1,24,9,1594
1,24,10,1544
1,24,11,1462
1,24,12,1449
1,24,13,1475
1,24,14,1453
1,24,15,1420
1,24,16,1409
1,24,17,1432
1,24,18,1458
1,24,19,1519
1,24,20,1598
1,24,21,1576
1,24,22,1543
1,24,23,1490
1,25,0,1441
1,25,1,1447
1,25,2,1481
1,25,3,1508
1,25,4,1536
1,25,5,1490
1,25,6,1479
1,25,7,1534
1,25,8,1704
1,25,9,1735
1,25,10,1715
1,25,11,1679
1,25,12,1686
1,25,13,1659
1,25,14,1654
1,25,15,1601
1,25,16,1590
1,25,17,1608
1,25,18,1744
1,25,19,1789
1,25,20,1680
1,25,21,1661
1,25,22,1633
1,25,23,1685
1,26,0,1677
1,26,1,1648
1,26,2,1650
1,26,3,1592
1,26,4,1504
1,26,5,1457
1,26,6,1449
1,26,7,1579
1,26,8,1662
1,26,9,1697
1,26,10,1655
1,26,11,1648
1,26,12,1607
1,26,13,1608
1,26,14,1627
1,26,15,1597
1,26,16,1543
1,26,17,1538
1,26,18,1717
1,26,19,1718
1,26,20,1651
1,26,21,1549
1,26,22,1589
1,26,23,1677
1,27,0,1650
1,27,1,1708
1,27,2,1808
1,27,3,1726
1,27,4,1683
1,27,5,1622
1,27,6,1602
1,27,7,1576
1,27,8,1621
1,27,9,1622
1,27,10,1594
1,27,11,1552
1,27,12,1596
1,27,13,1583
1,27,14,1544
1,27,15,1509
1,27,16,1540
1,27,17,1565
1,27,18,1728
1,27,19,1788
1,27,20,1731
1,27,21,1652
1,27,22,1747
1,27,23,1912
1,28,0,1847
1,28,1,1794
1,28,2,1740
1,28,3,1593
1,28,4,1562
1,28,5,1574
1,28,6,1594
1,28,7,1691
1,28,8,1760
1,28,9,1772
1,28,10,1764
1,28,11,1757
1,28,12,1730
1,28,13,1665
1,28,14,1643
1,28,15,1590
1,28,16,1581
1,28,17,1546
1,28,18,1709
1,28,19,1804
